EREQ_CODE,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_PARENT_LEVEL,EREQ_DESCRIPTION
B9304T0001,1.0,,,BASE VIE
B3971T0037-COMPEL,2.0,B3971T0037,1.0,Armoire Batterie Condensateur 02
B3971T0038-COMPEL,2.0,B3971T0038,1.0,Armoire Batterie Condensateur 03
BEC-SALEBHAR-ELEC,1.0,,,INSTALLATIONS ELECTRIQUE DEPOT SIDI ALI ELBHAR
B7214T0010-RS-PS-03,4.0,B7214T0010-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B6518T0002,1.0,,,RAFFINEUSE(SDA)
,,,,PRESSE D'INJECTION PREFORMES 04 HYPET 400
B7214T0007-RS-PS-13,4.0,B7214T0007-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7274T0001-APLPOI-DA,3.0,B7274T0001-APLPOI,2.0,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS
B7284T0006,1.0,,,PALETTISEUR CERMEX P421  N°30751
BMA22-ONDULE-01,2.0,B3970T0002,1.0,MCC
B9720T3000-B001,1.0,,,CHAUDRONNERIE RAFFINERIE 3500T
B7217T0002-S309,3.0,B7217T0002-S004,2.0,SOUTIREUSE
B7272T0015-FOURFA-CC,3.0,B7272T0015-FOURFA,2.0,FARDELEUSE TSM 4 SDI CERMEX-OC
BCH05-CONMEC-07,2.0,B7286T0009,1.0,BANDEROLEUSE ROBOPAC HS40 N° 309050087
B8657T0026-BLS,1.0,,,ARMOIRE CLIMATISATION CIAT DX 30
B7103T0332,2.0,B8713T8001-J08,1.0,RESERVOIRS DE DOSAGE PRODUITS CHIMIQUES
LLK-AC-2350A-ENTRAI,2.0,LLK-AC-2350A,1.0,Compresseur 40 bars TEMPO 2350 A
B4600R3000-B047,2.0,B6510R0001-B003,1.0,TURBINE CONTINUE S855N
B6514M0184-R002,2.0,B6514T0031,1.0,CENTRIFUGEUSE DISCONTINUE MCR2 1S017
B7105T0124,1.0,,,CUVE FORMULATION N°01
B7214T0007-RS-PS-12,4.0,B7214T0007-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7252T0021-ARMELE-CL,3.0,B7252T0021-ARMELE,2.0,ETIQUETEUSE OPERA 300 SACMI
BEC-ADM-ETAG1_ELEC,1.0,,,INSTALLATIONS ELECTRIQUE 1ER ETAGE R+3
